  -10463.935291    1547.119202  245238.036262
  -10463.628825    1545.534484  245238.022306
  -10462.904174    1541.770326  245237.989272
  -10461.564653    1534.868262  245237.928322
  -10459.684799    1525.226678  245237.842878
  -10457.296582    1513.059228  245237.734495
  -10454.361713    1498.229696  245237.601555
  -10450.865741    1480.732782  245237.443542
  -10446.837028    1460.756496  245237.261833
  -10442.263895    1438.292597  245237.056003
  -10437.140880    1413.349827  245236.825878
  -10431.498534    1386.093243  245236.572865
  -10425.250126    1356.588332  245236.294066
  -10418.467581    1324.850154  245235.992026
  -10411.118098    1291.028453  245235.665904
  -10403.258963    1255.224554  245235.317911
  -10394.828657    1217.486040  245234.945995
  -10385.918752    1177.913231  245234.553560
  -10376.436947    1136.674782  245234.137726
  -10366.513646    1093.829819  245233.703172
  -10356.140757    1049.493028  245233.249850
  -10345.316572    1003.801797  245232.777982
  -10334.026033     956.828097  245232.287188
  -10322.324323     908.699068  245231.779659
  -10310.264434     859.564799  245231.257552
  -10297.871557     809.504669  245230.721911
  -10285.171887     758.632357  245230.173885
  -10272.372446     707.084861  245229.620989
  -10259.326919     654.943718  245229.058277
  -10246.319386     602.340807  245228.495947
  -10233.249996     549.382056  245227.930726
  -10220.292425     496.139631  245227.368833
  -10207.402608     442.769328  245226.809046
  -10194.865479     389.334330  245226.261454
  -10182.643875     335.933007  245225.724958
  -10170.829870     282.682834  245225.203017
  -10159.396310     229.633246  245224.694784
  -10148.412747     176.913821  245224.202955
  -10138.109329     124.572181  245223.735671
  -10128.171510      72.706237  245223.282139
  -10118.784561      21.393538  245222.848993
  -10110.264091     -29.329382  245222.447339
  -10102.304544     -79.350570  245222.066726
  -10095.349512    -128.657268  245221.722685
  -10088.978656    -177.151326  245221.400725
  -10083.481371    -224.812611  245221.111002
  -10078.899574    -271.576542  245220.855114
  -10075.262922    -317.406792  245220.634170
  -10072.386707    -362.263616  245220.441798
  -10070.681156    -406.101806  245220.292427
  -10069.757710    -448.909980  245220.172501
  -10070.043820    -490.640575  245220.097055
  -10071.041862    -531.296180  245220.048693
  -10072.810895    -570.812718  245220.029610
  -10075.358739    -609.216168  245220.040027
  -10078.761097    -646.460107  245220.082683
  -10082.974193    -682.574727  245220.155988
  -10087.599463    -717.499712  245220.246134
  -10092.755983    -751.270023  245220.357212
  -10098.458706    -783.863208  245220.489790
  -10104.676121    -815.281205  245220.642764
  -10111.027576    -845.535754  245220.802805
  -10117.987921    -874.620736  245220.986521
  -10125.152563    -902.584384  245221.179674
  -10132.503088    -929.371797  245221.381732
  -10140.148167    -955.080577  245221.596293
  -10147.975603    -979.635907  245221.819590
  -10155.991800   -1003.112367  245222.051693
  -10164.090963   -1025.509719  245222.288905
  -10172.239225   -1046.812664  245222.530075
  -10180.485176   -1067.119908  245222.776697
  -10188.762082   -1086.366548  245223.026572
  -10197.072821   -1104.649951  245223.279603
  -10205.388738   -1121.972137  245223.534783
  -10213.645374   -1138.288301  245223.789950
  -10221.873092   -1153.733809  245224.045890
  -10230.001967   -1168.255111  245224.300267
  -10238.054188   -1181.875746  245224.553809
  -10246.057928   -1194.708127  245224.807271
  -10253.938385   -1206.669950  245225.058207
  -10261.682293   -1217.823771  245225.306024
  -10269.346981   -1228.262830  245225.552536
  -10276.797897   -1237.894487  245225.793230
  -10284.115811   -1246.792638  245226.030778
  -10291.354691   -1255.067590  245226.266839
  -10298.380153   -1262.620988  245226.496918
  -10305.254135   -1269.486118  245226.723112
  -10312.008939   -1275.829877  245226.946208
  -10318.530179   -1281.554495  245227.162409
  -10324.856665   -1286.603884  245227.373186
  -10331.195417   -1291.233033  245227.585252
  -10336.974173   -1295.356511  245227.778780
  -10342.565244   -1298.856469  245227.967026
  -10348.359315   -1301.867384  245228.163368
  -10354.789777   -1304.627986  245228.382466
  -10363.017047   -1306.960540  245228.665239
  -10370.058172   -1308.588824  245228.907997
  -10375.347603   -1309.785252  245229.090417
  -10379.598805   -1310.793900  245229.236935
  -10382.266730   -1311.478631  245229.328779
  -10383.183045   -1311.728648  245229.360293
  -10384.095234   -1311.532195  245229.392577
  -10386.621401   -1310.999618  245229.481959
  -10390.375616   -1310.225478  245229.614756
  -10394.805907   -1309.310914  245229.771471
  -10400.613043   -1308.053281  245229.977010
  -10407.968301   -1306.168613  245230.237940
  -10413.860488   -1303.760402  245230.448808
  -10418.666274   -1301.051413  245230.622320
  -10423.303978   -1297.831065  245230.791005
  -10427.805508   -1293.985845  245230.956211
  -10432.189882   -1289.647925  245231.118330
  -10436.989697   -1284.890132  245231.295829
  -10442.163560   -1279.465189  245231.487767
  -10447.384016   -1273.423588  245231.682596
  -10452.648228   -1266.862528  245231.880019
  -10458.230097   -1259.606915  245232.089965
  -10463.984332   -1251.638187  245232.307396
  -10469.834063   -1243.042789  245232.529448
  -10475.905731   -1233.701394  245232.760785
  -10482.149495   -1223.558178  245232.999778
  -10488.517138   -1212.697564  245233.244569
  -10495.054770   -1201.009318  245233.496997
  -10501.752216   -1188.450221  245233.756793
  -10508.564449   -1175.093348  245234.022234
  -10515.515140   -1160.813497  245234.294405
  -10522.572945   -1145.606889  245234.572216
  -10529.728376   -1129.504721  245234.855274
  -10537.033757   -1112.379769  245235.145667
  -10544.430195   -1094.290394  245235.441216
  -10551.898941   -1075.193130  245235.741357
  -10559.427547   -1055.024664  245236.045784
  -10566.980310   -1033.832591  245236.353150
  -10574.568972   -1011.508529  245236.664089
  -10582.135139    -988.093687  245236.976475
  -10589.643006    -963.541234  245237.289153
  -10597.113490    -937.820311  245237.602917
  -10604.462568    -910.968514  245237.914753
  -10611.718374    -882.903692  245238.225813
  -10618.830502    -853.687314  245238.534209
  -10625.701460    -823.230688  245238.836715
  -10632.341089    -791.588466  245239.133564
  -10638.688455    -758.693054  245239.422764
  -10644.656427    -724.590542  245239.701176
  -10650.226091    -689.243178  245239.968215
  -10655.384935    -652.687793  245240.223369
  -10660.064807    -614.908084  245240.464290
  -10664.164958    -575.926851  245240.687409
