,f,psd_Surge,psd_Heave,psd_Pitch,psd_tension,psd_NacAx,psd_Bmy
0,0.05,0.07861836306429773,0.4672554231333814,0.6911852959908936,210220249.5848549,0.019976449129340164,95249749.99607594
1,0.051562500000000004,0.2739955493834032,1.109808153195158,0.6180488164666016,447513608.7939169,0.020786678974924127,87487926.30026588
2,0.053125000000000006,0.5224420210839056,1.862604238351159,0.7265770430668439,782038238.0406505,0.02543243455994673,103086391.11652537
3,0.0546875,0.9793303745766757,3.55398797433584,0.7717966257885281,1381654644.6923199,0.021794444292578867,95991025.59694278
4,0.05625,1.1192205313057415,4.879095737181417,0.7170831842705992,1456868579.3206027,0.024548699129876398,100957296.9483169
5,0.0578125,1.9088823043232233,6.569101363382553,0.7212747592791261,1425407161.9495912,0.03359887676546464,112558140.55571954
6,0.059375000000000004,3.84371950144264,7.54954664912678,0.7451583806506987,1323738073.096846,0.060117532454548095,143321177.21122652
7,0.060937500000000006,4.65905919070522,5.152464272150971,0.5527558470606676,527031553.5445919,0.06615384444987783,117986723.45716915
8,0.0625,6.214480573906661,2.9511868686460874,0.8649500000551417,631544397.0176117,0.09231956729040416,145394370.56546634
9,0.06406250000000001,7.876528864227831,1.989591538593118,1.0224567819682229,984429826.4593513,0.13018581327412987,185241931.79251635
10,0.065625,9.556113018971526,1.4858446979294837,1.4074247320646045,1920820378.6058495,0.12101377089067503,144517110.42382047
11,0.0671875,10.170967132597859,1.0000866695383928,1.2580457917467556,2461011621.195533,0.11309164610719698,97173304.79277654
12,0.06875,8.702326030019126,1.0113221105099055,1.3497265404087913,2504114027.110652,0.0980295895309999,97139048.78514542
13,0.0703125,8.92050922374107,1.1914616669677567,1.6014081878668733,2346208367.3684883,0.0769572869379086,66364331.94544001
14,0.07187500000000001,12.690286455493986,1.7424865083210002,2.5187851148871814,3692997032.483429,0.08231501293923238,58154491.55998571
15,0.0734375,18.704320780635392,2.798206370359712,3.57020515128803,6827641140.273017,0.12028347141200824,63547743.34465127
16,0.07500000000000001,13.009500048936559,2.0547845696069467,2.565770034080103,5369978809.281259,0.07666997138255695,32994211.8004207
17,0.0765625,13.61037038533919,2.6527030591759044,3.475056490727453,7540578258.386179,0.042781857581902005,38849799.88852666
18,0.078125,8.557281362866224,1.8271030603398715,2.2068399463082122,5069909852.610341,0.0281440670100268,24059683.37945213
19,0.07968750000000001,10.954216458044462,2.3869756978158736,2.9045434068500056,7415640086.908429,0.03054333121051727,26214111.56992374
20,0.08125,16.606584531738918,3.8137123160992012,5.049069249632675,11288193571.881477,0.018614368675150265,54701491.50380121
21,0.08281250000000001,13.364958221424393,3.2336732835872164,4.3237078428801565,10462896595.338842,0.010659536021342092,59641114.9266675
22,0.084375,10.70746542282274,2.6345729909008626,3.695350846905388,9425581531.292894,0.01113329523519203,73078006.09434524
23,0.0859375,9.858157257138192,2.5199169934310826,3.8620633793598005,8029603772.10882,0.012086596905662883,117350025.5335693
24,0.08750000000000001,9.552932355265295,2.5520002796610513,4.158975357474854,8023047252.352572,0.02191417397045884,174251216.84424347
